ave_marg_damages_isrm_LePeule,zone,node,longitude,latitude,fuel,unit,tech,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
0.910301291,PJM_Dom,4,-78.2848,37.6961,Gas,Existing NG-CC 1111,NG-CC,Existing,9690.0,2440549.9946657503,1638001.4409684658,MO EM190
0.975389303,PJM_AP,1,-78.17795,38.97014,Gas,Existing NG-CC 1043,NG-CC,Existing,21411.395060119998,5221069.894482562,3383222.257943224,MO EM190
1.02926131,PJM_Dom,4,-78.2848,37.6961,Gas,Existing NG-CC 1112,NG-CC,Existing,23473.999999999953,5749919.986665789,3540214.5024256418,MO EM190
1.148221329,PJM_Dom,4,-78.2848,37.6961,Gas,Existing NG-CC 1110,NG-CC,Existing,9500.0,2340799.9946230003,1971887.8502317048,MO EM190
1.187291644,PJM_AP,1,-78.17795,38.97014,Gas,Existing NG-CC 1045,NG-CC,Existing,54851.2,13164287.96846056,9285598.763761517,MO EM190
1.269545686,PJM_AP,1,-78.17795,38.97014,Gas,Existing NG-CC 1044,NG-CC,Existing,21122.5,5069399.987854562,4245116.239213052,MO EM190
1.316939942,PJM_AP,1,-78.17795,38.97014,Gas,Existing NG-CC 1042,NG-CC,Existing,21122.5,5069399.987854562,4403593.502386565,MO EM190
1.375231631,PJM_Dom,4,-78.3801,37.8669,Gas,Existing NG-CC 974,NG-CC,Existing,4297.5,1058903.997567615,1198050.829970912,MO EM190
1.390103444,PJM_West,9,-81.71694,39.53305,Gas,Existing NG-CC 985,NG-CC,Existing,5208.0,1585079.9979462002,1812763.335573573,MO EM190
1.418876091,PJM_West,9,-81.71694,39.53333,Gas,Existing NG-CC 984,NG-CC,Existing,5208.0,1585079.9979462002,1850284.2839419313,MO EM190
1.418956326,PJM_West,9,-81.71694,39.53296,Gas,Existing NG-CC 987,NG-CC,Existing,22444.0,6830939.9911491,7111181.970009239,MO EM190
1.436337517,PJM_Dom,4,-78.3801,37.8669,Gas,Existing NG-CC 976,NG-CC,Existing,4530.0,1116191.9974360198,1318980.006966252,MO EM190
1.447889442,PJM_West,9,-81.71694,39.5325,Gas,Existing NG-CC 986,NG-CC,Existing,5208.0,1585079.9979462002,1888119.122177845,MO EM190
1.480886124,PJM_EMAC,5,-75.49942,39.18717,Gas,Existing NG-CC 1121,NG-CC,Existing,23164.7134317997,7749494.543614028,7511688.073331401,MO EM190
1.480886124,PJM_EMAC,5,-75.49942,39.18717,Gas,Existing NG-CC 1122,NG-CC,Existing,19803.0,6670904.993225775,5825539.082211517,MO EM190
1.525950515,PJM_Dom,4,-78.3801,37.8669,Gas,Existing NG-CC 977,NG-CC,Existing,29751.2,7332287.983163061,7378449.994664885,MO EM190
1.766282398,PJM_Dom,4,-78.3801,37.8669,Gas,Existing NG-CC 975,NG-CC,Existing,4445.0,1095247.9974841299,1591532.1368367842,MO EM190
1.86815888,PJM_Dom,4,-77.2786,38.5391,Gas,Existing NG-CC 379,NG-CC,Existing,3712.4999999998054,914759.9978986764,1405930.2559268565,MO EM190
2.100079035,PJM_Dom,4,-77.2786,38.5391,Gas,Existing NG-CC 381,NG-CC,Existing,19387.99999999994,4778879.989028735,6618407.039690519,MO EM190
2.331999191,PJM_Dom,4,-77.2786,38.5391,Gas,Existing NG-CC 380,NG-CC,Existing,3712.5,914759.997898725,1755005.023675516,MO EM190
3.192184906,PJM_AP,1,-79.9181,39.8589,Gas,Existing NG-CC 988,NG-CC,Existing,4175.999999999988,1002239.9975987971,2632101.145119045,MO EM190
3.332454903,PJM_Dom,4,-77.71313,36.76479,Gas,Existing NG-CC 1165,NG-CC,Existing,19309.6798948683,4760995.1638434585,10465541.042493237,MO EM190
3.348843429,PJM_AP,1,-79.91815,39.85905,Gas,Existing NG-CC 990,NG-CC,Existing,21979.99999999988,5275199.987361472,11656267.481678493,MO EM190
3.384191279,PJM_Dom,4,-77.71313,36.76479,Gas,Existing NG-CC 1164,NG-CC,Existing,19010.409815676197,4648483.9154604105,10331204.173017554,MO EM190
3.407856829,PJM_Dom,4,-77.71313,36.76479,Gas,Existing NG-CC 1167,NG-CC,Existing,54175.69865886655,13002167.646976946,26347567.384681858,MO EM190
3.505501953,PJM_AP,1,-79.9182,39.8592,Gas,Existing NG-CC 989,NG-CC,Existing,4176.0,1002239.9975987999,2890445.2518918,MO EM190
3.506924306,PJM_Dom,4,-77.71313,36.76479,Gas,Existing NG-CC 1166,NG-CC,Existing,18257.313126595993,4381755.139885083,10109550.357304174,MO EM190
5.475829282,PJM_Dom,4,-78.205,38.12583,Gas,Existing NG-CC 769,NG-CC,Existing,933.8000000000001,224111.99946306503,1009619.6947629184,MO EM190
6.21194926,PJM_EMAC,5,-75.035192,39.489029,Gas,Existing NG-CT 157,NG-CT,Existing,165.0,65999.99994225,162246.4311135003,MO EM190
6.3125208,PJM_EMAC,5,-74.74249,40.14695,Gas,Existing NG-CC 928,NG-CC,Existing,7319.999999999953,2431154.9973968,12625781.635504749,MO EM190
6.360245321,PJM_EMAC,5,-74.74249,40.14695,Gas,Existing NG-CC 930,NG-CC,Existing,7842.703015048555,2589849.0800665496,13551617.27353473,MO EM190
6.366125242,PJM_EMAC,5,-74.74249,40.14695,Gas,Existing NG-CC 932,NG-CC,Existing,30272.380171613753,10117561.230572531,41974351.99025525,MO EM190
6.39997462,PJM_West,9,-84.8666,39.0908,Gas,Existing NG-CC 982,NG-CC,Existing,4980.0,1526369.9980661,8036757.728191433,MO EM190
6.419729684,PJM_EMAC,5,-74.74249,40.14695,Gas,Existing NG-CC 929,NG-CC,Existing,7258.0,2391319.997349875,12629822.323768219,MO EM190
6.434402293,PJM_EMAC,5,-74.74249,40.14695,Gas,Existing NG-CC 933,NG-CC,Existing,29694.04431639194,9838553.255429978,41103434.73088489,MO EM190
6.508559264,PJM_EMAC,5,-74.74249,40.14695,Gas,Existing NG-CC 931,NG-CC,Existing,7128.0,2271059.99716365,12160635.606472023,MO EM190
6.619972007,PJM_ATSI,2,-83.1655,41.37778,Gas,Existing NG-CC 1024,NG-CC,Existing,14959.199999999999,4656050.9943903,20092597.523161497,MO EM190
6.699543491,PJM_West,9,-82.78389,38.57417,Gas,Existing NG-CC 1033,NG-CC,Existing,5580.0,1710269.9978331,9426548.182566175,MO EM190
6.729722522,PJM_West,9,-84.8666,39.0908,Gas,Existing NG-CC 981,NG-CC,Existing,5130.0,1572344.9980078498,8705381.437115172,MO EM190
6.740131596,PJM_West,9,-84.8666,39.0908,Gas,Existing NG-CC 980,NG-CC,Existing,4980.0,1526369.9980661,8463909.297999727,MO EM190
6.741203522,PJM_West,9,-82.78375,38.574305,Gas,Existing NG-CC 1034,NG-CC,Existing,27983.405734110165,8516477.999371303,37758208.05251044,MO EM190
6.747324639,PJM_Dom,4,-78.2036,38.12417,Gas,Existing NG-CC 768,NG-CC,Existing,933.8000000000001,224111.999463065,1244054.825610887,MO EM190
6.782863554,PJM_West,9,-82.78361,38.57444,Gas,Existing NG-CC 1032,NG-CC,Existing,5550.0,1701074.99784475,9492472.46199004,MO EM190
7.338844988,PJM_West,9,-81.6571,39.5798,Gas,Existing NG-CC 962,NG-CC,Existing,5183.025319559869,1598758.2907847117,9652800.443723615,MO EM190
7.352794065,PJM_West,9,-81.6571,39.5798,Gas,Existing NG-CC 964,NG-CC,Existing,15171.094671918538,4126350.4562814278,21731856.03728605,MO EM190
7.366743142,PJM_West,9,-81.6571,39.5798,Gas,Existing NG-CC 963,NG-CC,Existing,3759.0,902159.997838575,5467664.997250369,MO EM190
7.452279932,PJM_SMAC,7,-76.6861,38.5444,Gas,Existing NG-CC 88,NG-CC,Existing,14845.565449297103,3784055.699606055,23200080.09152106,MO EM190
7.729298667,PJM_COMD,3,-90.27933,41.71217,Gas,Existing NG-CC 807,NG-CC,Existing,15245.557424786937,5554258.96618013,31793565.045730714,MO EM190
7.859726755,PJM_EMAC,5,-75.422206,39.806687,Gas,Existing NG-CC 1035,NG-CC,Existing,5984.0,1934239.9976812,12507214.88298893,MO EM190
8.079041113,PJM_ATSI,2,-83.1655,41.37778,Gas,Existing NG-CC 1023,NG-CC,Existing,35683.485243307434,10133168.050558312,44664876.84014436,MO EM190
8.098491983,PJM_COMD,3,-89.6075,41.774885,Gas,Existing NG-CC 801,NG-CC,Existing,20040.30338412972,7457352.807610555,39580001.40996878,MO EM190
8.098491983,PJM_COMD,3,-89.6075,41.774885,Gas,Existing NG-CC 803,NG-CC,Existing,19499.999999999876,7288749.995549951,35018603.02192181,MO EM190
8.107978147,PJM_EMAC,5,-75.422206,39.806687,Gas,Existing NG-CC 1038,NG-CC,Existing,20912.87140605011,6805767.4802316055,40195959.33174437,MO EM190
8.122713767,PJM_West,9,-82.785,38.57278,Gas,Existing NG-CC 1030,NG-CC,Existing,3111.0,746639.998211175,4989479.068875843,MO EM190
8.166343395,PJM_EMAC,5,-75.422206,39.806687,Gas,Existing NG-CC 1036,NG-CC,Existing,6029.099999999999,1964024.99769798,13195244.835282242,MO EM190
8.229878788,PJM_COMD,3,-89.606175,41.774895,Gas,Existing NG-CC 802,NG-CC,Existing,19943.60397394481,7434144.949221782,40095302.34364631,MO EM190
8.229878788,PJM_COMD,3,-89.606175,41.774895,Gas,Existing NG-CC 804,NG-CC,Existing,19500.0,7288749.99555,35586731.30756723,MO EM190
8.29786429,PJM_EMAC,5,-75.422206,39.806687,Gas,Existing NG-CC 1037,NG-CC,Existing,5723.7488548816555,1858299.53976455,12686004.198773714,MO EM190
8.676986998,PJM_West,9,-84.8666,39.0908,Gas,Existing NG-CC 983,NG-CC,Existing,2822.0,677279.99837735,4834816.554769443,MO EM190
8.825121559,PJM_West,9,-82.02727,40.09285,Gas,Existing NG-CC 947,NG-CC,Existing,10992.421931789411,2953989.7581952964,15993722.617789762,MO EM190
8.856849885,PJM_West,9,-82.02727,40.09285,Gas,Existing NG-CC 949,NG-CC,Existing,22116.600000000002,6199349.989785035,29679882.229657676,MO EM190
8.88857821,PJM_West,9,-82.02727,40.09285,Gas,Existing NG-CC 948,NG-CC,Existing,10922.7,2937256.494605928,15986360.192988185,MO EM190
9.051536797,PJM_WMAC,8,-77.1668,39.8729,Gas,Existing NG-CC 1051,NG-CC,Existing,3366.0,954719.9982711,7109534.151044173,MO EM190
9.206402713,PJM_West,9,-82.78486,38.57292,Gas,Existing NG-CC 1031,NG-CC,Existing,21522.691380950397,5726341.780828877,32389762.41045725,MO EM190
9.493148215,PJM_WMAC,8,-75.313775,40.61842,Gas,Existing NG-CC 1020,NG-CC,Existing,2540.0,731519.99871095,5713197.912392188,MO EM190
9.493148215,PJM_WMAC,8,-75.313775,40.61842,Gas,Existing NG-CC 1022,NG-CC,Existing,14700.63313495498,4163199.4555315995,25244806.016981103,MO EM190
9.538110219,PJM_ATSI,2,-83.1655,41.37778,Gas,Existing NG-CC 1025,NG-CC,Existing,10894.199999999999,2892653.994516315,16903082.636770062,MO EM190
9.758405555,PJM_AP,1,-79.76917,40.545,Gas,Existing NG-CC 1027,NG-CC,Existing,2505.0,601199.9985596249,4826592.545789242,MO EM190
9.864313262,PJM_WMAC,8,-77.16694,39.87165333,Gas,Existing NG-CC 1053,NG-CC,Existing,21350.81834200273,5969739.600590151,37953222.69634048,MO EM190
9.956977323,PJM_WMAC,8,-75.1072,40.8022,Gas,Existing NG-CC 1012,NG-CC,Existing,3583.4,1010895.99815172,8280885.8691661395,MO EM190
9.985430136,PJM_WMAC,8,-75.1072,40.8022,Gas,Existing NG-CC 1014,NG-CC,Existing,15175.999999999995,4231935.992103059,27131203.277481288,MO EM190
10.01388295,PJM_WMAC,8,-75.1072,40.8022,Gas,Existing NG-CC 1013,NG-CC,Existing,3583.4,1010895.99815172,8328212.380738263,MO EM190
10.12751862,PJM_EMAC,5,-75.506389,39.74564767,Gas,Existing NG-CC 457,NG-CC,Existing,12484.557287716256,4078088.744365056,29932674.012085848,MO EM190
10.20320074,PJM_WMAC,8,-77.16722,39.86916,Gas,Existing NG-CC 1050,NG-CC,Existing,2814.617848741126,797908.28225159,6697800.505691806,MO EM190
10.29009166,PJM_West,9,-82.78472,38.57306,Gas,Existing NG-CC 1029,NG-CC,Existing,2715.0,651599.998438875,5516239.599419485,MO EM190
10.33820225,PJM_WMAC,8,-77.1668,39.8729,Gas,Existing NG-CC 1052,NG-CC,Existing,2754.0,783359.998588575,6662684.04623045,MO EM190
10.58381714,PJM_AP,1,-79.76917,40.545,Gas,Existing NG-CC 1028,NG-CC,Existing,10675.0,2561999.993861875,17239878.24981527,MO EM190
10.61978306,PJM_WMAC,8,-76.070093,41.201997,Gas,Existing NG-CC 347,NG-CC,Existing,2085.499999999998,585879.9989208744,4480355.462309891,MO EM190
10.95323383,PJM_COMD,3,-88.25748,41.4806,Gas,Existing NG-CC 791,NG-CC,Existing,6240.0,2380799.9986759997,21453990.127950322,MO EM190
10.95323383,PJM_COMD,3,-88.25748,41.4806,Gas,Existing NG-CC 795,NG-CC,Existing,8851.235649094748,3333334.841300589,27163487.332514267,MO EM190
11.40922873,PJM_AP,1,-79.76917,40.545,Gas,Existing NG-CC 1026,NG-CC,Existing,1837.0,440879.99894372496,4138276.3358321814,MO EM190
11.42180143,PJM_WMAC,8,-76.070093,41.201997,Gas,Existing NG-CC 346,NG-CC,Existing,1672.7999999999665,464447.99912669195,3755811.817370431,MO EM190
11.75631665,PJM_WMAC,8,-75.9375,40.42083,Gas,Existing NG-CC 808,NG-CC,Existing,2208.0,618239.9988546,5979586.852992582,MO EM190
11.76790149,PJM_WMAC,8,-75.9375,40.42083,Gas,Existing NG-CC 810,NG-CC,Existing,6292.009583209747,1738467.8299871604,14505014.73417431,MO EM190
11.77948633,PJM_WMAC,8,-75.9375,40.42083,Gas,Existing NG-CC 809,NG-CC,Existing,2208.0,618239.9988546,5991371.591192538,MO EM190
12.27134763,PJM_COMD,3,-88.25614,41.48064,Gas,Existing NG-CC 793,NG-CC,Existing,5919.861591849581,2258327.334452999,22799323.149020433,MO EM190
12.27134763,PJM_COMD,3,-88.25614,41.48064,Gas,Existing NG-CC 797,NG-CC,Existing,8250.0,3061874.998125,28076054.89879079,MO EM190
12.56593167,PJM_EMAC,5,-75.220256,39.841001,Gas,Existing NG-CC 1119,NG-CC,Existing,21286.718722907925,6993829.821607622,56248391.36061822,MO EM190
12.59769993,PJM_EMAC,5,-75.220256,39.841001,Gas,Existing NG-CC 1118,NG-CC,Existing,21217.0,6957227.492065275,56142983.94633746,MO EM190
13.44148982,PJM_COMD,3,-88.33022667,41.41324667,Gas,Existing NG-CC 830,NG-CC,Existing,4030.0,1486139.9990560499,14893670.268593445,MO EM190
13.69802891,PJM_COMD,3,-88.25705,41.48061,Gas,Existing NG-CC 792,NG-CC,Existing,5649.742501740819,2130296.9994309177,24007173.87104423,MO EM190
13.69802891,PJM_COMD,3,-88.25705,41.48061,Gas,Existing NG-CC 796,NG-CC,Existing,7947.528053913662,2918702.2264334913,29793942.07284933,MO EM190
13.75738347,PJM_COMD,3,-88.25838,41.48058,Gas,Existing NG-CC 790,NG-CC,Existing,5600.0,2110399.998752,23885999.81112296,MO EM190
13.75738347,PJM_COMD,3,-88.25838,41.48058,Gas,Existing NG-CC 794,NG-CC,Existing,7875.0,2880624.9981125,29585367.511703636,MO EM190
14.81925424,PJM_WMAC,8,-76.3658,40.3509,Gas,Existing NG-CC 936,NG-CC,Existing,6371.299999999999,1669719.9965342323,17063490.02188681,MO EM190
17.93124232,PJM_EMAC,5,-75.33577,39.86248,Gas,Existing NG-CC 843,NG-CC,Existing,2198.2999999999997,635815.9988881676,9379606.848583939,MO EM190
18.04513825,PJM_EMAC,5,-75.33577,39.86248,Gas,Existing NG-CC 845,NG-CC,Existing,9048.565245258987,2784867.654878942,35098048.56686821,MO EM190
18.15903418,PJM_EMAC,5,-75.33577,39.86248,Gas,Existing NG-CC 844,NG-CC,Existing,2198.2999999999997,635815.9988881676,9498761.899415221,MO EM190
18.39028323,PJM_EMAC,5,-75.50444433,39.74564767,Gas,Existing NG-CC 453,NG-CC,Existing,2295.6237526875957,648969.499892895,9818734.301581578,MO EM190
19.3843234,PJM_EMAC,5,-74.211871,40.624411,Gas,Existing NG-CC 150,NG-CC,Existing,2259.6000000000004,632687.9988278325,10089811.369194953,MO EM190
19.43511979,PJM_EMAC,5,-74.211871,40.624411,Gas,Existing NG-CC 149,NG-CC,Existing,13878.833267397793,4339829.528059668,52027277.41127037,MO EM190
19.48591618,PJM_EMAC,5,-74.211871,40.624411,Gas,Existing NG-CC 151,NG-CC,Existing,1720.7185793443718,417135.4307541897,6687144.5863683,MO EM190
19.85026591,PJM_EMAC,5,-74.211871,40.624411,Gas,Existing NG-CC 147,NG-CC,Existing,1661.7554794553885,398821.3141137838,6513096.198176064,MO EM190
19.86409061,PJM_EMAC,5,-74.211871,40.624411,Gas,Existing NG-CC 146,NG-CC,Existing,11465.658241331987,3499362.812807293,41751651.314752854,MO EM190
19.8779153,PJM_EMAC,5,-74.211871,40.624411,Gas,Existing NG-CC 148,NG-CC,Existing,1506.4,361535.99913382,5912418.770930175,MO EM190
24.75900568,PJM_WMAC,8,-76.06848,41.20334,Gas,Existing NG-CT 1089,NG-CT,Existing,1.9184653865522705e-13,5.801581427444802e-11,1.1817412499120292e-09,MO EM190
26.96637334,PJM_EMAC,5,-76.30826,39.73872,Gas,Existing NG-CC 992,NG-CC,Existing,3042.7110974749767,847370.6618091355,15846189.923089165,MO EM190
29.85848294,PJM_EMAC,5,-76.30826,39.73872,Gas,Existing NG-CC 994,NG-CC,Existing,10953.56906485179,3289763.9611885347,51561863.543532126,MO EM190
31.14855732,PJM_EMAC,5,-76.30826,39.73872,Gas,Existing NG-CC 993,NG-CC,Existing,2562.0,692959.99863665,14888252.554522801,MO EM190
31.46051817,PJM_EMAC,5,-76.30826,39.73872,Gas,Existing NG-CC 991,NG-CC,Existing,2334.491814501296,632598.0342396784,13688842.145265538,MO EM190
39.31088066,PJM_EMAC,5,-74.168576,40.062369,Gas,Existing NG-CC 722,NG-CC,Existing,398.5,95639.9997708625,3093108.4207216566,MO EM190
40.42742977,PJM_EMAC,5,-75.118141,39.918222,Gas,Existing NG-CC 633,NG-CC,Existing,326.0,78239.99981255,2602242.5615883735,MO EM190
55.72897316,PJM_SMAC,7,-76.527476,39.178421,Gas,Existing NG-CC 69,NG-CC,Existing,2267.999999999929,544319.998695883,21654739.11289177,MO EM190
94.77943172,PJM_EMAC,5,-74.025002,40.8396,Gas,Existing NG-CC 127,NG-CC,Existing,2600.3999999999965,737567.9986643386,45062208.659802936,MO EM190
